ST JOSEPH HOSPITAL,72117,B079-625071,SS0395,30401.78,6000 HOSPITAL DR
PENINSULA MEDICAL CENTER,72917,B079-625072,AAW1039,20321.7,2316 E MEYER BLVD
ST HELENA HOSPITAL,71603,B079-625089,JJA 1739,18783.42,ONE BARNES-JEWISH HOSPITAL PLAZA
MERCY GENERAL HOSPITAL,71901,B079-625090,JJA89,18283.08,3801 SOUTH NATIONAL AVENUE
GROSSMONT HOSPITAL,72205,B079-625091,JJA90,23512.1,1125 MADISON ST
BAKERSFIELD MEMORIAL HOSPITAL,72401,B079-625092,JJA91,17654.42,1235 ùùùù E CHEROKEE
ENLOE MEDICAL CENTER,72503,B079-625039,AS93SS9,19429.5,1600 E BROADWAY
ANTELOPE VALLEY HOSPITAL MED CENTER,72211,B079-625078,SHJA901,27753.57,10010 KENNERLY ROAD
KAWEAH DELTA MEDICAL CENTER,95501,B079-625079,DJJA89,23590.71,1000 CARONDELET DR
GLENDALE MEM HOSPITAL & HLTH CENTER,94010,B079-625080,DJJA90,20053.2,1600 SOUTH 48TH ST
ST JOSEPH HOSPITAL,94574,B079-625081,DJJA91,21153.28,"P O BOX 1990, 10 EAST 31ST ST"
SCRIPPS MERCY HOSPITAL,95819,B079-625082,RAZ9189,29444,987400 NEBRASKA MEDICAL CENTER
ST JOHNS REGIONAL MEDICAL CENTER,91942,B079-625083,LI09112,26132.65,8303 DODGE ST
ST JOSEPHS MED CENTER OF STOCKTON,93301,B079-625101,LI09113,27622.88,7500 MERCY RD
SAINT AGNES MEDICAL CENTER,95926,B079-625102,KJA0190,15909.89,4021 AVE B
MARIAN MEDICAL CENTER,93534,B079-625026,SHD927,19246.82,6901 NORTH 72ND ST
SUTTER GENERAL HOSPITAL,93291,B079-625027,SHD928,25457.84,2700 WEST NORFOLK AVE
PALOMAR MEDICAL CENTER,91204,B079-625028,SHD929,45477.87,7500 SOUTH 91ST ST
TRI-CITY MEDICAL CENTER,92868,B079-625029,SHD930,17068.58,1155 MILL STREET
RIDEOUT MEMORIAL HOSPITAL,92103,B079-625077,8389432,19810.83,3186 S MARYLAND PKWY
ST JUDE MEDICAL CENTER,93030,B079-625061,SQ84783,41190.73,235 W 6TH ST
SANTA ROSA MEMORIAL HOSPITAL,95204,B079-625062,799021,11874.25,1600 MEDICAL PARKWAY
EMANUEL MEDICAL CENTER INC,93710,B079-625093,SJS87492,39971.26,620 SHADOW LANE
LONG BEACH MEMORIAL MEDICAL CENTER,93454,B079-625094,SJS87493,28878.64,2075 EAST FLAMINGO ROAD
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,95816,B079-625095,SHJ8728,22894.48,3100 N TENAYA WAY
SEQUOIA HOSPITAL,92025,B079-625096,SJK0093,36609,657 TOWN CENTER DRIVE
SHARP CHULA VISTA MEDICAL CENTER,92056,B079-625097,SK94892,20179.53,3001 ST ROSE PARKWAY
GWINNETT MEDICAL CENTER,95901,B079-625098,SK94893,38828.58,5400 SOUTH RAINBOW BLVD
MEDICAL CENTER OF CENTRAL GEORGIA,92835,B079-625099,SK94894,11746.63,8280 W WARM SPRINGS ROAD
SOUTH GEORGIA MEDICAL CENTER,95405,B079-625100,SK94895,17080.11,250 PLEASANT ST
FAIRVIEW PARK HOSPITAL,95382,B079-625118,SK94896,15452.41,1 MEDICAL CENTER DRIVE
"ST FRANCIS HOSPITAL, INC",90806,B079-625103,SK94897,21232.82,80 HIGHLAND ST
WELLSTAR COBB HOSPITAL,94598,B079-625104,SK94898,32284.56,172 KINSLEY ST
COLISEUM MEDICAL CENTER,94062,B079-625105,AH8640,18180.78,1 ELLIOT WAY
REDMOND REGIONAL MEDICAL CENTER,91911,B079-625060,AH8641,13662.38,5 ALUMNI DRIVE
DOCTORS HOSPITAL,92663,B079-625085,AH8642,18149.16,333 BORTHWICK AVE
"HENRY MEDICAL CENTER, INC",61801,B079-625107,LI09112,14913.36,100 MCGREGOR STREET
PIEDMONT FAYETTE HOSPITAL,61801,B079-625108,AH8640,19681.27,30 PROSPECT AVE
THE QUEENS MEDICAL CENTER,60625,B079-625109,KJA0190,19748.35,ONE CLARA MAAS DRIVE
ST LUKES MAGIC VALLEY RMC,60050,B079-625110,KJA0191,25198.52,99 RT 37 WEST
ST LUKES REGIONAL MEDICAL CENTER,60631,B079-625111,KJA0192,34177.92,350 ENGLE ST
ST ALPHONSUS REGIONAL MEDICAL CENTER,60612,B079-625112,KJA0193,16257.11,1 EAST NEW YORK AVE
EASTERN IDAHO REGIONAL MEDICAL CENTER,61761,B079-625113,KJA0194,15505,110 REHILL AVE
PORTNEUF MEDICAL CENTER,62526,B079-625044,HJA901,28477.95,25 POCONO ROAD
KOOTENAI MEDICAL CENTER,62781,B079-625037,HJA902,25952.23,99 BEAUVIOR AVE
PROVENA ST JOSEPH MEDICAL CENTER,61701,B079-625129,HJA903,18517.6,425 JACK MARTIN BLVD
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,62902,B079-625130,S93SS9,21124.14,175 MADISON AVE
EVANSTON HOSPITAL,62521,B079-625131,S93SS10,28600.19,1925 PACIFIC AVE
PROCTOR HOSPITAL,60461,B079-625132,S93SS11,17891.93,254 EASTON AVE
BLESSING HOSPITAL,60098,B079-625088,S93SS12,33830.5,1945 RTE 33
COPLEY MEMORIAL HOSPITAL,62959,B079-625086,S93SS13,20048.35,300 SECOND AVENUE
SHERMAN HOSPITAL,62226,B079-625087,THJ01909,20590.91,"726 EXCHANGE STREET, SUITE 522"
GALESBURG COTTAGE HOSPITAL,60901,B079-625038,THJ01910,29967.83,169 RIVERSIDE DRIVE
CGH MEDICAL CENTER,62220,B079-625114,THJ01911,51236.1,43 NEW SCOTLAND AVENUE
GOOD SAMARITAN REGIONAL HLTH CENTER,61938,B079-625125,THJ01912,29321.2,45 READE PLACE
ST JOHNS HOSPITAL,60426,B079-625126,THJ01913,50781.33,ONE GUSTAVE L LEVY PLACE
MACNEAL  HOSPITAL,60126,B079-625127,THJ01914,35364.05,355 BARD AVENUE
PALOS COMMUNITY HOSPITAL,60048,B079-625128,SKJS88402,45992,1656 CHAMPLIN AVENUE
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,60453,B079-625116,SKJS88403,49305.26,315 SOUTH MANNING BOULEVARD
SAINT FRANCIS MEDICAL CENTER,61636,B079-625122,SKJS88404,39018.09,111 EAST 210TH STREET
RHC ST FRANCIS HOSPITAL,60134,B079-625123,SKJS88405,25752.9,241 NORTH ROAD
CARLE FOUNDATION HOSPITAL,60068,B079-625124,SKJS88406,36367.36,2157 MAIN STREET
PROVENA COVENANT MEDICAL CENTER- URBANA,61104,B079-625133,SKKA901,35290.23,2450 SOUTH TELSHOR BLVD
SWEDISH COVENANT HOSPITAL,60540,B079-625134,SKKA902,27285.21,1100 CENTRAL AVENUE SE
